CustomerID,Segment,BehaviorScore,LevelOfTrust,TransactionsVolume,TotalValue,Status,LastActive
CUST-10001,Retail,36,Untrusted,176,8673.03,Active,2026-09-22T14:03:34.029286
CUST-10002,Retail,13,High,360,14626.59,Flagged,2026-09-22T14:03:34.029339
CUST-10003,Retail,53,Untrusted,487,571.69,Active,2026-09-22T14:03:34.029355
CUST-10004,Guest,27,Low,90,13010.04,Active,2026-09-22T14:03:34.029368
CUST-10005,Retail,43,Low,212,8911.57,Suspended,2026-09-22T14:03:34.029378
CUST-10006,Guest,41,Untrusted,260,23859.84,Suspended,2026-09-22T14:03:34.029388
CUST-10007,Guest,18,Low,138,15538.2,Flagged,2026-09-22T14:03:34.029398
CUST-10008,Corporate,68,High,106,13000.45,Under Review,2026-09-22T14:03:34.029407
CUST-10009,Premium,97,High,46,14603.54,Under Review,2026-09-22T14:03:34.029416
CUST-10010,Guest,33,Low,324,19600.19,Active,2026-09-22T14:03:34.029425
CUST-10011,Corporate,67,High,72,14620.65,Flagged,2026-09-22T14:03:34.029434
CUST-10012,Premium,45,Low,294,19122.59,Under Review,2026-09-22T14:03:34.029444
CUST-10013,Premium,18,Low,242,13802.58,Flagged,2026-09-22T14:03:34.029453
CUST-10014,Corporate,84,High,488,16617.57,Flagged,2026-09-22T14:03:34.029462
CUST-10015,Guest,18,Untrusted,197,15600.64,Under Review,2026-09-22T14:03:34.029471
CUST-10016,Guest,26,Untrusted,34,10091.45,Flagged,2026-09-22T14:03:34.029481
CUST-10017,Retail,38,High,238,8570.53,Under Review,2026-09-22T14:03:34.029490
CUST-10018,Retail,88,Untrusted,118,2546.24,Suspended,2026-09-22T14:03:34.029500
CUST-10019,Corporate,84,Untrusted,304,19410.73,Under Review,2026-09-22T14:03:34.029508
CUST-10020,Corporate,18,Untrusted,164,13711.99,Under Review,2026-09-22T14:03:34.029518
CUST-10021,Corporate,49,Low,425,2433.22,Under Review,2026-09-22T14:03:34.029527
CUST-10022,Retail,91,Medium,25,946.88,Active,2026-09-22T14:03:34.029536
CUST-10023,Retail,31,Medium,396,5067.59,Active,2026-09-22T14:03:34.029545
CUST-10024,Premium,73,Medium,110,23544.17,Flagged,2026-09-22T14:03:34.029554
