TransactionID,Timestamp,AccountID,Amount,Location,DeviceType,Status,RiskScore
TRX-10001,2026-09-22T13:29:41.880598,ACC-574,4397.9,BR,Desktop,Approved,5
TRX-10002,2026-09-22T13:29:41.880703,ACC-922,313.71,BR,Desktop,Approved,73
TRX-10003,2026-09-22T13:29:41.880725,ACC-515,1645.0,UK,Desktop,Blocked,71
TRX-10004,2026-09-22T13:29:41.880737,ACC-557,4742.6,US,Desktop,Flagged,7
TRX-10005,2026-09-22T13:29:41.880747,ACC-477,3047.06,CN,Desktop,Approved,49
TRX-10006,2026-09-22T13:29:41.880757,ACC-527,4498.78,JP,Unknown,Flagged,97
TRX-10007,2026-09-22T13:29:41.880766,ACC-334,1526.04,BR,Mobile,Blocked,61
TRX-10008,2026-09-22T13:29:41.880775,ACC-387,249.35,US,Desktop,Approved,97
TRX-10009,2026-09-22T13:29:41.880784,ACC-723,1595.84,BR,Tablet,Flagged,37
TRX-10010,2026-09-22T13:29:41.880793,ACC-492,3483.04,NG,Tablet,Approved,32
TRX-10011,2026-09-22T13:29:41.880803,ACC-307,1093.89,BR,Mobile,Blocked,53
TRX-10012,2026-09-22T13:29:41.880812,ACC-866,752.17,US,Desktop,Blocked,23
TRX-10013,2026-09-22T13:29:41.880821,ACC-688,2451.58,US,Unknown,Approved,37
TRX-10014,2026-09-22T13:29:41.880831,ACC-652,305.92,NG,Tablet,Approved,78
TRX-10015,2026-09-22T13:29:41.880840,ACC-792,2877.32,US,Tablet,Blocked,25
TRX-10016,2026-09-22T13:29:41.880849,ACC-948,501.1,US,Tablet,Approved,68
TRX-10017,2026-09-22T13:29:41.880858,ACC-698,146.23,BR,Unknown,Approved,86
TRX-10018,2026-09-22T13:29:41.880868,ACC-446,1989.96,UK,Unknown,Flagged,27
TRX-10019,2026-09-22T13:29:41.880877,ACC-203,2570.28,RU,Unknown,Approved,59
TRX-10020,2026-09-22T13:29:41.880886,ACC-853,637.27,US,Unknown,Flagged,56
TRX-10021,2026-09-22T13:29:41.880896,ACC-651,2532.02,RU,Tablet,Approved,75
TRX-10022,2026-09-22T13:29:41.880905,ACC-820,3784.74,BR,Mobile,Approved,9
TRX-10023,2026-09-22T13:29:41.880914,ACC-849,470.71,UK,Desktop,Approved,27
TRX-10024,2026-09-22T13:29:41.880924,ACC-427,4094.53,CN,Tablet,Blocked,12
TRX-10025,2026-09-22T13:29:41.880934,ACC-455,3240.06,RU,Tablet,Approved,51
TRX-10026,2026-09-22T13:29:41.880943,ACC-482,1840.54,RU,Desktop,Approved,93
TRX-10027,2026-09-22T13:29:41.880953,ACC-230,1942.8,US,Tablet,Flagged,96
TRX-10028,2026-09-22T13:29:41.880962,ACC-345,2620.4,UK,Unknown,Blocked,50
TRX-10029,2026-09-22T13:29:41.880971,ACC-775,344.17,JP,Tablet,Flagged,12
TRX-10030,2026-09-22T13:29:41.880981,ACC-395,2844.41,JP,Tablet,Flagged,41
TRX-10031,2026-09-22T13:29:41.880990,ACC-183,2137.68,CN,Mobile,Blocked,93
TRX-10032,2026-09-22T13:29:41.881005,ACC-431,2411.37,NG,Desktop,Approved,80
TRX-10033,2026-09-22T13:29:41.881015,ACC-456,3583.9,US,Tablet,Approved,45
TRX-10034,2026-09-22T13:29:41.881025,ACC-839,510.89,UK,Mobile,Approved,55
TRX-10035,2026-09-22T13:29:41.881034,ACC-322,412.64,RU,Unknown,Approved,25
TRX-10036,2026-09-22T13:29:41.881043,ACC-887,4897.44,RU,Mobile,Blocked,13
TRX-10037,2026-09-22T13:29:41.881053,ACC-582,4174.9,CN,Desktop,Blocked,45
TRX-10038,2026-09-22T13:29:41.881062,ACC-283,1446.04,NG,Desktop,Approved,61
TRX-10039,2026-09-22T13:29:41.881070,ACC-883,151.03,RU,Tablet,Approved,33
TRX-10040,2026-09-22T13:29:41.881079,ACC-107,3981.69,RU,Unknown,Approved,60
TRX-10041,2026-09-22T13:29:41.881089,ACC-925,2489.99,CN,Unknown,Blocked,82
TRX-10042,2026-09-22T13:29:41.881098,ACC-676,1280.19,JP,Mobile,Approved,10
TRX-10043,2026-09-22T13:29:41.881120,ACC-777,3332.56,JP,Tablet,Flagged,92
TRX-10044,2026-09-22T13:29:41.881131,ACC-747,3661.7,JP,Desktop,Blocked,42
TRX-10045,2026-09-22T13:29:41.881140,ACC-507,3162.13,BR,Desktop,Flagged,90
TRX-10046,2026-09-22T13:29:41.881149,ACC-973,2440.01,BR,Desktop,Blocked,78
TRX-10047,2026-09-22T13:29:41.881159,ACC-829,4779.69,CN,Desktop,Approved,66
TRX-10048,2026-09-22T13:29:41.881169,ACC-272,3295.08,UK,Mobile,Blocked,70
TRX-10049,2026-09-22T13:29:41.881178,ACC-794,4023.18,BR,Desktop,Blocked,56
TRX-10050,2026-09-22T13:29:41.881187,ACC-898,685.24,CN,Unknown,Approved,81
TRX-10051,2026-09-22T13:29:41.881196,ACC-698,4689.71,US,Unknown,Blocked,50
TRX-10052,2026-09-22T13:29:41.881205,ACC-702,2847.2,CN,Unknown,Blocked,78
TRX-10053,2026-09-22T13:29:41.881214,ACC-980,2582.18,UK,Mobile,Blocked,9
TRX-10054,2026-09-22T13:29:41.881224,ACC-701,3214.82,US,Unknown,Blocked,52
TRX-10055,2026-09-22T13:29:41.881233,ACC-889,3311.66,UK,Mobile,Approved,22
TRX-10056,2026-09-22T13:29:41.881242,ACC-553,405.86,US,Tablet,Approved,97
TRX-10057,2026-09-22T13:29:41.881251,ACC-240,340.42,CN,Unknown,Approved,21
TRX-10058,2026-09-22T13:29:41.881261,ACC-884,2862.79,US,Unknown,Approved,93
TRX-10059,2026-09-22T13:29:41.881270,ACC-908,1110.24,UK,Unknown,Approved,83
