ProcessID,StepName,StartTime,EndTime,DurationSeconds,AssignedTo,Status
PRC-5001,Fulfillment,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,4140,User_4,Completed
PRC-5002,Approval,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,3987,User_5,Completed
PRC-5003,Review,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,6185,User_3,Failed
PRC-5004,DataEntry,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,1029,User_13,Delayed
PRC-5005,Fulfillment,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,1683,User_2,Completed
PRC-5006,DataEntry,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,6263,User_14,Failed
PRC-5007,Audit,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,2294,User_7,Failed
PRC-5008,Review,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,799,User_14,Failed
PRC-5009,Approval,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,3230,User_17,Delayed
PRC-5010,Fulfillment,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,3636,User_8,Completed
PRC-5011,DataEntry,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,6265,User_9,Delayed
PRC-5012,Review,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,2634,User_20,Failed
PRC-5013,Fulfillment,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,3418,User_11,Failed
PRC-5014,Review,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,5018,User_13,Delayed
PRC-5015,Audit,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,5844,User_2,Completed
PRC-5016,Approval,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,3030,User_19,Failed
PRC-5017,DataEntry,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,5905,User_5,Failed
PRC-5018,Review,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,1389,User_17,Delayed
PRC-5019,DataEntry,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,1091,User_8,Failed
PRC-5020,Review,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,4993,User_17,Completed
PRC-5021,Audit,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,2262,User_15,Failed
PRC-5022,Audit,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,1014,User_16,Completed
PRC-5023,Review,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,1317,User_19,Completed
PRC-5024,Review,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,2246,User_11,Failed
PRC-5025,DataEntry,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,3564,User_1,Failed
PRC-5026,Approval,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,5337,User_1,Completed
PRC-5027,Approval,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,3133,User_6,Completed
PRC-5028,Audit,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,5549,User_15,Completed
PRC-5029,Review,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,1156,User_11,Completed
PRC-5030,Approval,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,6274,User_7,Delayed
PRC-5031,Review,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,3220,User_10,Failed
PRC-5032,DataEntry,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,2518,User_10,Delayed
PRC-5033,DataEntry,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,6621,User_6,Completed
PRC-5034,Audit,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,6546,User_20,Delayed
PRC-5035,Fulfillment,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,4851,User_18,Completed
PRC-5036,DataEntry,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,6665,User_9,Delayed
PRC-5037,DataEntry,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,5712,User_2,Completed
PRC-5038,Review,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,5154,User_9,Delayed
PRC-5039,Audit,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,5555,User_7,Failed
PRC-5040,DataEntry,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,5127,User_13,Delayed
PRC-5041,Approval,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,3471,User_7,Failed
PRC-5042,Review,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,2394,User_16,Delayed
PRC-5043,Approval,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,6578,User_10,Completed
PRC-5044,DataEntry,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,5632,User_4,Delayed
PRC-5045,Fulfillment,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,5765,User_8,Failed
PRC-5046,Fulfillment,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,1846,User_15,Failed
PRC-5047,Approval,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,3924,User_18,Delayed
PRC-5048,Fulfillment,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,4498,User_20,Delayed
PRC-5049,Audit,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,467,User_16,Completed
PRC-5050,Review,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,1306,User_13,Completed
PRC-5051,Fulfillment,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,1182,User_10,Delayed
PRC-5052,DataEntry,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,1604,User_3,Delayed
PRC-5053,Approval,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,5901,User_8,Completed
PRC-5054,Review,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,7079,User_3,Delayed
PRC-5055,DataEntry,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,1215,User_14,Delayed
PRC-5056,Fulfillment,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,4357,User_7,Delayed
PRC-5057,Review,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,2659,User_1,Delayed
PRC-5058,Fulfillment,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,335,User_15,Completed
PRC-5059,Fulfillment,2026-09-22T08:00:00Z,2026-09-22T08:45:00Z,2961,User_16,Completed
